,job,company,location,salary,description
0.0,Data Scientist,        Novetta,"Crystal City, VA",,
1.0,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
2.0,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
3.0,Data Scientist,    TechStratium Inc.,"McLean, VA",,"TechStratium is hiring Data Scientists to join our team in McLean, VA. Experience with data visualization of insights gained from complex data set analysis...."
4.0,Advanced Analytics Data Scientist,        IBM,"Springfield, VA",,"As an Advanced Analytics Data Scientist, you'll team with some of the best minds in the industry to create innovative world class solutions focused on clients'..."
5.0,Data Scientist (MACSM),        Celestar Corporation,"Springfield, VA",,The Celestar Corporation has an IMMEDIATE NEED to identify a DATA SCIENTIST for an upcoming contract re-compete....
6.0,"Data Scientist, Analytics",        Facebook,"New York, NY",,The Data Scientist Analytics role has work across the following four areas:. Building key data sets to empower operational and exploratory analysis....
7.0,Data Scientist - Government Engagements,        KPMG,"Washington, DC 20036 (Downtown area)",,"Five years of professional experience working as a Data Scientist. Machine learning, data visualization, statistical modeling, data mining, or information..."
8.0,Data Scientist (all levels) (NCI),        Leidos,"Rockville, MD 20848",,"The data scientist will analyze cancer data related to clinical trials where children, grandparents, and every age group in between was studied...."
9.0,Associate Data Scientist,        IMM,"Boulder, CO 80302",,Are you data curious? Generate clear and concise data visualizations. Craft stories based on data that intertwine all facets of the client?s and IMM?s business...
10.0,Data Scientist,    pureIntegration,"Herndon, VA",,"Perform Data collection - Acquire data from data sources, filter and/or ""clean"" data, etc. Is looking for a Data Scientist (Machine Learning) to assist our..."
11.0,"Intern - Network Analysis Team (data analysis, SQL, advanced Excel)",        Urban Science,"Herndon, VA 20171",,"Requires demonstrated knowledge of MS Excel for charting and graphing of data, writing formulas, utilizing functions, and filtering, sorting and formatting of..."
12.0,Data Science Professional,        Freddie Mac,"McLean, VA 22102",,"Visualize data to communicate complex ideas. Use techniques from statistics, machine learning, and other data sciences to estimate predictive models from..."
13.0,Consultant - Data Science/Scientist,    IST,"Raleigh, NC",,
14.0,Data Scientist,        Deloitte,"Arlington, VA 22209",,
18.0,Data Scientist / Operations Research Analyst,        Booz Allen Hamilton,"Annapolis Junction, MD",,Data Scientist/Operations Research Analyst. Apply expertise with and knowledge of analytics while working alongside industry–leading Cloud computing...
19.0,Data Scientist (Consumer Loans),    Lendmart,"Los Angeles, CA 90036","$55,000 a year","Performing data extraction, transformation and loading from multiple data sources. Lendmart is growing and we’re looking for a Data Scientist with industry..."
20.0,"Data Scientist (Biomedical) - R&D Data CoE,",        GlaxoSmithKline,"Philadelphia, PA",,The Data CoE is seeking a Biomedical Data Scientist with clinical experience. Experience with clinical data analytics;...
21.0,Research and Data Analyst,        Rescare,"Washington, DC",,Automate data load and data analysis programs with a goal of improving efficiencies across clients. Interfaces with clients and vendors on ETL processes and...
22.0,Data Scientist 4,        Siemens,"Tarrytown, NY",,The Data Scientist will be responsible for the advanced analytical processes and strategies supporting the Siemens Enterprise Services team through the...
23.0,Data Analytics Scientist,    MDA Information Systems LLC,"Reston, VA",,Leverage data science expertise to identify analytical inefficiencies and create new procedures/methods to gain efficiency Utilize statistical techniques and...
24.0,Data Scientist 5,        Oracle,United States,,"The Cloud Data Curation team is looking for Scientists. Science, including data models, data types, vocabularies, agile methodology,...."
25.0,Junior Data Scientist,    BitVoyant,"Rosslyn, VA",,"Junior Data Scientist. As a Data Scientist (Big Data), you will apply cutting-edge statistical and mathematical methods to the collection, correlation and..."
26.0,Data Scientist (Full time),        RangTech,"Township of Piscataway, NJ",,"Experience in data visualization and presentation. Experience/Interest in machine learning, data mining, and predictive analysis...."
27.0,Data Scientist / Statistician,    SBG Technology Solutions,"Alexandria, VA 22314 (Southwest Quadrant area)",,"Independently, design and implement data reporting systems for statistical data retrieved from VA's Corporate Data Warehouse...."
34.0,Data Scientist,    Emerge Media,"Chicago, IL",,We are looking for a Data Scientist to help secure our competitive advantage within the translation tech industry....
35.0,Data Scientist,    nuvento,"Kansas City, KS",,"We are looking for a Data Scientist that will help us discover the information hidden in vast amounts of data, and help us make smarter decisions to deliver..."
36.0,Data Scientist,    Keyo,"Palo Alto, CA","$120,000 - $200,000 a year","We’re looking for talented junior and senior data scientists to join our diverse and fast-growing data team. As a data scientist, you’ll build and implement the..."
37.0,Data Scientist,    Resolve Tech Solutions Inc.,"Basking Ridge, NJ",,* PhD * Statistics educational background Possibility of the position turning into a Contract to Hire position. Prefers local candidates Job Type: Contract
38.0,Data Scientist,    Vectra Networks,"Austin, TX",,"Successfully applied machine learning, statistical methods, data mining to academic/work projects. Be on the leading edge of applying machine learning and data..."
39.0,"Data Scientist, Senior Associate",        Capital One,"Vienna, VA",,"Data Scientist, Senior Associate. Writing software to clean and investigate large, messy data sets of numerical and textual data...."
40.0,Entry Level- Data Scientist,    H3 Technologies,"Florence, KY 41042",,Entry level Data Scientist. We are looking for an entry level Data Scientist. We can provide project support to the Data Scientist who recently completed...
41.0,Data Scientist,        Sandhills Publishing,"Lincoln, NE 68521",,The Data Scientist may be responsible for any of the following tasks:. The Data Scientist would need to be able to take this data and apply to the markets our...
